id,article_category,article_title,device_id,fail_reason,is_completed,push_type,retry_count,sent_at,status
1,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",qkC5nbUj2UZ:APA91bI0PJrwzhKxNNFhlkNDc6FfwesfSMTNcGk1aM1iC6uFBIIQCh8moR3BgqmjsYNW_jxIl-2UpBwq_1GGp86YraIGd_avJXREspOzj-HLPoS4VYnDK4QY75cfKtDGVnSKm3y3vK-S,,1,FCM,1,2026-05-25 22:02:23,success
2,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",df672b1f45bb96e4db70bef7e2d35335b623e48fa1913b95bb3eb96fbd416b7e,DeviceTokenNotForTopic,1,APNs,0,2026-05-25 22:02:22,fail
3,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",d130339eb0558ccf92ab8551bd2f9b5bb531a38d1df0aacac06e9f7039d614ca,ExpiredProviderToken,1,APNs,0,2026-05-25 22:02:22,fail
4,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",ROeiNxabWre:APA91buMkON_FvHb8DOsyj4Kk3pyNLr_6sO-y0epPPFKCEt8U8w6bf5_5DvM25dHd0bz6ke3Kkqw74C5mUqAI6h-0N-u9vsHy5s-n52TQ0Q6clV_jcogs6-EdUYXOyoPhp8Qef3TBe14,InvalidRegistration,1,FCM,1,2026-05-25 22:02:23,fail
5,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",8e74a0bc0e50832ede3fe053a589ad18f59abf64c6c45ca232472b751109c709,BadDeviceToken,1,APNs,0,2026-05-25 22:02:22,fail
6,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",uxrLvV1ocV5:APA91b6ilS0M-HhyvFOYjHrrqn9J8pFX8fF2Sx4w0Pqi0jiR01Bh4apnP_HY4_6cDxrcC0axj2lC1dWXQlo0PpzZOI6INZAJdStmps581G15lcFpeQEKm1kF2fedChlzyeiJHdqslZWC,InvalidRegistration,1,FCM,1,2026-05-25 22:02:23,fail
7,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",ce06d9086a2d64c2b0c75017b7a8e6f8cab08f44d1f9ed4e6a0935e44c43686f,,1,APNs,0,2026-05-25 22:02:22,success
8,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",8rNMc1bmuSs:APA91bH1XjQBVlfnnOcfCd_OrxF9Ln_J7O-s6UGZN0fumBrrTfU9GQb2K-FuH-PqdI9KIuYUv4hQs51GmXujYFk24SZvHi5FFlumsRa9QsEBYtwI7ekSKtVxm2BqpggyyUvVc9_jHMAT,,1,FCM,0,2026-05-25 22:02:22,success
9,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",5b617614df41a4bb4d273fc232b0d7578c59cd258279ddf43c22841928722428,,1,APNs,0,2026-05-25 22:02:22,success
10,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",wbXtrDheRFV:APA91bT7V1xJAtVnk7bUkPlUZCpAQhtippVuK_MxjH6W6TuSaIXwuV5BGALKw-obwsdBGfGz5WISu4KnRovE7RL_ZKdrRUr2kKtj4Ol9bkqR3Es3Le-PVeiSzl-tAdLlrc3VyD45kY7C,,1,FCM,0,2026-05-25 22:02:22,success
11,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",76229b76031383ee32d95343da52c7d4dd2a7393fdd357151a4691dbfe8ab62d,,1,APNs,0,2026-05-25 22:02:22,success
12,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",A8rhm6g0MaY:APA91bKUN13Lty-Q3iQWJLiwYI2qp3F6k_UUpGr7vlnfgdWwC88POWYok-ddCir4pGn9Cjm8Y_WA-02nQ-L9EycVa130ungHPEVEls5U4dyD4NQ-mKM3LdOymg4E9yBczZegY5lTOakT,InvalidRegistration,1,FCM,1,2026-05-25 22:02:23,fail
13,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",PVrMMkwG1rs:APA91bq8qyocyf9FkVI_I_pk8L9xa2C2MkBvBY5WZE_-ntW3YCrHDE2HMlHnBBycRXVj8Fh-sLXXRj1zsiy7RW-fv07_VqGxQxAwM1eN0WtiEeZnp_gmOXB3jl7dgErDn9p6HW8_sNe7,,1,FCM,1,2026-05-25 22:02:23,success
14,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",QEJPWGS15CH:APA91bG_AE8tedaJ9Znr4N-x6qDFmHqowWJTzyuDquqj_6RgROl6k5ruSj5fyZZnt4uyYhbxFQwxU4IMDCLFqdKsocQckqpXnA-jcxNs9HWY0eN2uu4-MygCrjCTxhkCeVjW10Sxi6P5,,1,FCM,0,2026-05-25 22:02:22,success
15,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",24KwfCSy7eX:APA91bO8kVsLzNoHJ41Z42Li847ToMwbZqykqZKZBJ4j9sNYB32tR0TeTpN7ohAB4m90Br80W5VyS-jUzPA7d5vi7ExcWR3HuVRisQGXO2ouG39g3NT1XP7C8aFXuQ7PX72fuBo0ja_6,InvalidRegistration,1,FCM,1,2026-05-25 22:02:23,fail
